Summary,Method
"<summary>
Calculate BCH (Bose-Chaudhuri-Hocquenghem) code for ""value"" using polynomial ""poly"". The BCH
code is used for encoding type information and version information.
Example: Calculation of version information of 7.
f(x) is created from 7.
- 7 = 000111 in 6 bits
- f(x) = x^2 + x^2 + x^1
g(x) is given by the standard (p. 67)
- g(x) = x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^2 + 1
Multiply f(x) by x^(18 - 6)
- f'(x) = f(x) * x^(18 - 6)
- f'(x) = x^14 + x^13 + x^12
Calculate the remainder of f'(x) / g(x)
x^2
__________________________________________________
g(x) )x^14 + x^13 + x^12
x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^4 + x^2
--------------------------------------------------
x^11 + x^10 + x^7 + x^4 + x^2

The remainder is x^11 + x^10 + x^7 + x^4 + x^2
Encode it in binary: 110010010100
The return value is 0xc94 (1100 1001 0100)

Since all coefficients in the polynomials are 1 or 0, we can do the calculation by bit
operations. We don't care if cofficients are positive or negative.
</summary>","public static int calculateBCHCode(int value, int poly)
      {
         int msbSetInPoly = findMSBSet(poly);
         value <<= msbSetInPoly - 1;
         while (findMSBSet(value) >= msbSetInPoly)
         {
            value ^= poly << (findMSBSet(value) - msbSetInPoly);
         }
         return value;
      }"
"<summary>
Make bit vector of type information. On success, store the result in ""bits"" and return true.
Encode error correction level and mask pattern. See 8.9 of
JISX0510:2004 (p.45) for details.
</summary>","public static void makeTypeInfoBits(ErrorCorrectionLevel ecLevel, int maskPattern, BitArray bits)
      {
         if (!QRCode.isValidMaskPattern(maskPattern))
         {
            throw new WriterException(""Invalid mask pattern"");
         }
         int typeInfo = (ecLevel.Bits << 3) | maskPattern;
         bits.appendBits(typeInfo, 5);
         int bchCode = calculateBCHCode(typeInfo, TYPE_INFO_POLY);
         bits.appendBits(bchCode, 10);
         BitArray maskBits = new BitArray();
         maskBits.appendBits(TYPE_INFO_MASK_PATTERN, 15);
         bits.xor(maskBits);
         if (bits.Size != 15)
         {
            throw new WriterException(""should not happen but we got: "" + bits.Size);
         }
      }"
"<summary>
Make bit vector of version information. On success, store the result in ""bits"" and return true.
See 8.10 of JISX0510:2004 (p.45) for details.
</summary>","public static void makeVersionInfoBits(Version version, BitArray bits)
      {
         bits.appendBits(version.VersionNumber, 6);
         int bchCode = calculateBCHCode(version.VersionNumber, VERSION_INFO_POLY);
         bits.appendBits(bchCode, 12);
         if (bits.Size != 18)
         {
            throw new WriterException(""should not happen but we got: "" + bits.Size);
         }
      }"
"<summary>
Check if ""value"" is empty.
</summary>","private static bool isEmpty(int value)
      {
         return value"
"<summary>
Embed the lonely dark dot at left bottom corner. JISX0510:2004 (p.46)
</summary>","private static void embedDarkDotAtLeftBottomCorner(ByteMatrix matrix)
      {
         if (matrix[8, matrix.Height - 8]"
"<summary>
Note that we cannot unify the function with embedPositionDetectionPattern() despite they are
almost identical, since we cannot write a function that takes 2D arrays in different sizes in
C/C++. We should live with the fact.
</summary>","private static void embedPositionAdjustmentPattern(int xStart, int yStart, ByteMatrix matrix)
      {
         for (int y = 0; y < 5; ++y)
         {
            for (int x = 0; x < 5; ++x)
            {
               matrix[xStart + x, yStart + y] = POSITION_ADJUSTMENT_PATTERN[y][x];
            }
         }
      }"
"<summary>
Embed position detection patterns and surrounding vertical/horizontal separators.
</summary>","private static void embedPositionDetectionPatternsAndSeparators(ByteMatrix matrix)
      {
         int pdpWidth = POSITION_DETECTION_PATTERN[0].Length;
         embedPositionDetectionPattern(0, 0, matrix);
         embedPositionDetectionPattern(matrix.Width - pdpWidth, 0, matrix);
         embedPositionDetectionPattern(0, matrix.Width - pdpWidth, matrix);
         const int hspWidth = 8;
         embedHorizontalSeparationPattern(0, hspWidth - 1, matrix);
         embedHorizontalSeparationPattern(matrix.Width - hspWidth, hspWidth - 1, matrix);
         embedHorizontalSeparationPattern(0, matrix.Width - hspWidth, matrix);
         const int vspSize = 7;
         embedVerticalSeparationPattern(vspSize, 0, matrix);
         embedVerticalSeparationPattern(matrix.Height - vspSize - 1, 0, matrix);
         embedVerticalSeparationPattern(vspSize, matrix.Height - vspSize, matrix);
      }"
"<summary>
Embed position adjustment patterns if need be.
</summary>","private static void maybeEmbedPositionAdjustmentPatterns(Version version, ByteMatrix matrix)
      {
         if (version.VersionNumber < 2)
         {
            return;
         }
         int index = version.VersionNumber - 1;
         int[] coordinates = POSITION_ADJUSTMENT_PATTERN_COORDINATE_TABLE[index];
         int numCoordinates = POSITION_ADJUSTMENT_PATTERN_COORDINATE_TABLE[index].Length;
         for (int i = 0; i < numCoordinates; ++i)
         {
            for (int j = 0; j < numCoordinates; ++j)
            {
               int y = coordinates[i];
               int x = coordinates[j];
               if (x"
"<summary>
Apply mask penalty rule 2 and return the penalty. Find 2x2 blocks with the same color and give
penalty to them. This is actually equivalent to the spec's rule, which is to find MxN blocks and give a
penalty proportional to (M-1)x(N-1), because this is the number of 2x2 blocks inside such a block.
</summary>","public static int applyMaskPenaltyRule2(ByteMatrix matrix)
      {
         int penalty = 0;
         var array = matrix.Array;
         int width = matrix.Width;
         int height = matrix.Height;
         for (int y = 0; y < height - 1; y++)
         {
            for (int x = 0; x < width - 1; x++)
            {
               int value = array[y][x];
               if (value"
"<summary>
Apply mask penalty rule 3 and return the penalty. Find consecutive cells of 00001011101 or
10111010000, and give penalty to them.  If we find patterns like 000010111010000, we give
penalties twice (i.e. 40 * 2).
</summary>","public static int applyMaskPenaltyRule3(ByteMatrix matrix)
      {
         int numPenalties = 0;
         byte[][] array = matrix.Array;
         int width = matrix.Width;
         int height = matrix.Height;
         for (int y = 0; y < height; y++)
         {
            for (int x = 0; x < width; x++)
            {
               byte[] arrayY = array[y];  
               if (x + 6 < width &&
                   arrayY[x]"
"<summary>
Apply mask penalty rule 4 and return the penalty. Calculate the ratio of dark cells and give
penalty if the ratio is far from 50%. It gives 10 penalty for 5% distance.
</summary>","public static int applyMaskPenaltyRule4(ByteMatrix matrix)
      {
         int numDarkCells = 0;
         var array = matrix.Array;
         int width = matrix.Width;
         int height = matrix.Height;
         for (int y = 0; y < height; y++)
         {
            var arrayY = array[y];
            for (int x = 0; x < width; x++)
            {
               if (arrayY[x]"
"<summary>
Return the mask bit for ""getMaskPattern"" at ""x"" and ""y"". See 8.8 of JISX0510:2004 for mask
pattern conditions.
</summary>","public static bool getDataMaskBit(int maskPattern, int x, int y)
      {
         int intermediate, temp;
         switch (maskPattern)
         {
            case 0:
               intermediate = (y + x) & 0x1;
               break;
            case 1:
               intermediate = y & 0x1;
               break;
            case 2:
               intermediate = x % 3;
               break;
            case 3:
               intermediate = (y + x) % 3;
               break;
            case 4:
               intermediate = (((int)((uint)y >> 1)) + (x / 3)) & 0x1;
               break;
            case 5:
               temp = y * x;
               intermediate = (temp & 0x1) + (temp % 3);
               break;
            case 6:
               temp = y * x;
               intermediate = (((temp & 0x1) + (temp % 3)) & 0x1);
               break;
            case 7:
               temp = y * x;
               intermediate = (((temp % 3) + ((y + x) & 0x1)) & 0x1);
               break;
            default:
               throw new ArgumentException(""Invalid mask pattern: "" + maskPattern);
         }
         return intermediate"
